sub_num,trial_num,trial_type,relation1,relation2,pair1_word1,pair1_word2,pair2_word1,pair2_word2,rating,RT
3,29,between-subtype,9g,9a,senescence,cane,aquarium,fish,4,6931
3,30,within-subtype,5f,5f,golden,gleam,round,roll,6,5276
3,31,between-subtype,8b,8f,sadness,cry,food,nourishment,5,18758
3,32,within-subtype,8b,8b,pain,medicate,loneliness,socialize,4,5816
3,33,attention check,,,representations,,simultaneously,,1,6003
3,34,between-type,7b,8d,salesperson,customer,shoot,kill,3,6098
3,35,between-subtype,4e,4f,perplexed,certain,sterile,dirty,6,16547
3,36,within-subtype,5a,5a,water,wet,murderer,evil,3,21250
3,37,between-type,8f,5c,punch,pain,ice,cold,6,9736
3,38,between-subtype,5d,5e,angry,belligerence,baby,cry,3,8879
3,39,within-subtype,6c,6c,deceit,truth,depression,joy,6,10779
3,40,within-subtype,3c,3c,angry,enraged,breathe,hyperventilate,4,12469
3,41,within-subtype,9f,9f,infancy,teething,autumn,equinox,2,6342
3,42,between-subtype,7c,7g,surgeon,scalpel,carpet,vacuum,3,5124
3,43,between-type,2g,5g,meal,food,withdrawal,timid,6,20397
3,44,attention check,,,anthropologist,,anthropologist,,7,5526
3,45,between-subtype,4g,4h,fun,boring,leukemia,blood,2,5207
3,46,within-subtype,7d,7d,sweep,floor,clean,house,5,6093
3,47,within-subtype,9b,9b,theater,play,kitchen,food,7,9913
3,48,between-subtype,8c,8h,electricity,lamp,fungicide,fungus,1,14163
3,49,between-type,4f,10c,disastrous,peaceful,recording,sound,1,13165
3,50,within-subtype,7e,7e,preach,disciple,perform,audience,5,6746
3,51,between-subtype,2h,2a,bird,feathers,dog,tail,7,10618
3,52,between-subtype,3d,3b,exaggerate,lie,ennui,boredom,2,5998
3,53,between-subtype,7f,7e,check,employee,lecture,child,3,7269
3,54,within-subtype,9d,9d,kitchen,oven,laboratory,reagents,3,8995
4,1,between-subtype,2h,2e,bird,wings,baking,mixing,1,8384
4,2,between-type,7h,2h,driver,license,doctor,phd,6,7981
4,3,between-subtype,4h,4g,leukemia,blood,fun,boring,1,4857
4,4,between-subtype,5d,5f,happy,contentment,sturdy,strong,4,7455
4,5,within-subtype,8h,8h,fungicide,mold,acetaminophen,headache,6,5421
4,6,between-subtype,6g,6d,stare,intermittently,full,empty,6,6641
4,7,between-subtype,9d,9g,playground,slide,senescence,wheelchair,1,9137
4,8,between-subtype,7a,7g,florist,roses,criminal,handcuffs,5,8237
4,9,within-subtype,6h,6h,groom,unkempt,repair,damaged,7,8866
4,10,between-subtype,6d,6g,old,youth,stutter,steadily,7,6004
4,11,attention check,,,hummingbird,,hummingbird,,7,13152
4,12,between-subtype,8h,8c,fungicide,fungus,electricity,lamp,1,8546
4,13,within-subtype,6b,6b,irremediable,fixed,impermeable,penetrated,7,8050
4,14,between-subtype,5e,5d,baby,cry,angry,belligerence,2,4844
4,15,within-subtype,9f,9f,autumn,equinox,infancy,teething,5,5937
4,16,within-subtype,5f,5f,cowardly,surrender,golden,gleam,5,5276
4,17,within-subtype,7a,7a,spinner,yarn,blacksmith,iron,7,5387
4,18,within-subtype,4c,4c,fill,empty,peace,war,4,5886
4,19,between-subtype,6h,6c,repair,damaged,destitution,abundance,6,10304
4,20,between-subtype,2c,2h,quarter,pennies,words,letters,5,7954
4,21,between-type,8h,2h,locks,theft,mall,shops,2,6915
4,22,attention check,,,representations,,simultaneously,,1,4383
4,23,within-subtype,9b,9b,kitchen,food,theater,play,6,7006
4,24,between-subtype,8h,8a,moisturize,dryness,loss,grief,3,7515
4,25,within-subtype,7f,7f,ribbon,winner,receipt,customer,6,5685
4,26,between-subtype,2e,2c,wrapping,taping,book,chapter,4,6254
4,27,within-subtype,10f,10f,hat,hair,wrapper,package,6,4536
4,28,between-type,4d,5g,forward,backward,sprint,fast,1,4576
4,29,within-subtype,6e,6e,dead,breathe,confidant,betray,5,6752
4,30,within-subtype,8h,8h,sunscreen,burns,water,thirst,6,4877
4,31,between-type,4f,7d,rage,happiness,donate,charity,1,4515
4,32,between-subtype,3b,3f,disdain,hatred,shovel,spoon,3,6073
4,33,attention check,,,anthropologist,,anthropologist,,7,10374
4,34,between-subtype,8b,8c,disease,medicate,battery,phone,2,8689
4,35,within-subtype,10e,10e,dermatology,skin,geology,earth,6,6082
4,36,between-subtype,1e,1b,state,Virginia,shoe,sandal,6,5211
4,37,within-subtype,6e,6e,immortal,die,mountain,move,5,6070
4,38,between-subtype,5a,5d,bigot,hateful,provocative,controversy,1,8201
4,39,within-subtype,9f,9f,winter,snow,winter,cold,6,6210
4,40,between-subtype,9e,9f,ditch,road,birthday,celebration,2,7244
4,41,between-type,3d,4b,chat,gossip,bright,dark,1,4806
4,42,between-subtype,5g,5e,running,fast,water,flow,5,5503
4,43,within-subtype,7d,7d,eat,food,paint,picture,7,4802
4,44,attention check,,,coincidence,,knowledgeable,,1,5611
4,45,within-subtype,5a,5a,plain,flat,mogul,wealth,5,8201
4,46,within-subtype,9a,9a,farm,tractor,bakery,cake,5,5014
4,47,between-subtype,7a,7g,architect,building,blackboard,chalk,1,5681
4,48,within-subtype,2c,2c,quarter,pennies,poem,verses,5,6168
4,49,between-subtype,4f,4h,rage,happiness,fracture,bone,1,4519
4,50,within-subtype,6h,6h,discourage,confident,clean,messy,4,10029
4,51,between-subtype,2j,2g,widow,husband,wall,bricks,2,4718
4,52,within-subtype,2a,2a,shoe,sole,clock,hand,6,4401
4,53,between-type,7a,1e,sculptor,sculpture,planet,Earth,1,4231
4,54,within-subtype,8h,8h,moisturize,dryness,sunscreen,burns,6,6757
5,1,within-subtype,1d,1d,clothes,blouses,clothes,shirts,7,8407
5,2,within-subtype,2h,2h,mother,children,words,letters,4,7730
5,3,between-subtype,3d,3h,hurt,kill,acceleration,speed,6,5968
5,4,between-type,2f,7d,tree,root,brush,teeth,7,4664
5,5,within-subtype,5d,5d,pensive,thought,lazy,indolence,6,4942
5,6,within-subtype,7h,7h,charity,donations,marriage,license,7,4384
5,7,between-subtype,9e,9a,ditch,road,cupboard,dishes,5,4680
5,8,between-subtype,9g,9c,toddler,walking,bar,drinking,3,4573
5,9,within-subtype,3h,3h,waning,sunlight,terror,fear,1,4544
5,10,between-subtype,1e,1c,lake,Erie,fish,trout,4,4285
5,11,attention check,,,anthropologist,,anthropologist,,7,11806
5,12,within-subtype,7a,7a,poet,words,blacksmith,iron,1,17529
5,13,within-subtype,3a,3a,pants,trousers,boat,ship,7,5486
5,14,between-subtype,9h,9f,text,index,birthday,celebration,6,4955
5,15,between-subtype,9d,9e,church,pew,edge,cliff,5,4617
5,16,between-type,10a,7h,shriek,panic,adoptee,certificate,7,4393
5,17,within-subtype,10c,10c,signature,acknowledgment,recording,sound,4,4148
5,18,within-subtype,2a,2a,dog,tail,flashlight,bulb,4,4135
5,19,within-subtype,2b,2b,band,musician,school,fish,7,4306
5,20,within-subtype,5d,5d,pensive,thought,mad,anger,7,4544
5,21,between-subtype,1b,1e,clothing,sock,ocean,Indian,7,4203
5,22,attention check,,,hummingbird,,hummingbird,,7,5596
5,23,between-type,6b,4e,incomprehensible,understood,tedious,interesting,1,6686
5,24,within-subtype,5g,5g,sprint,fast,insult,unkind,7,4790
5,25,within-subtype,9g,9g,adult,job,adulthood,job,1,4893
5,26,between-type,6h,4e,clean,messy,old,young,1,4397
5,27,within-subtype,7f,7f,gift,recipient,award,winner,1,4624
5,28,within-subtype,9h,9h,narrative,epilogue,introduction,conclusion,4,5676
5,29,between-subtype,9c,9h,library,studying,title,story,1,4087
5,30,between-subtype,7a,7h,artist,paint,insured,policy,7,14367
5,31,between-subtype,5e,5c,tree,grow,idiot,stupidity,1,10025
5,32,within-subtype,7d,7d,row,boat,clean,house,1,6309
5,33,attention check,,,coincidence,,knowledgeable,,7,5843
5,34,within-subtype,4h,4h,pimple,skin,miscarriage,pregnancy,7,11268
5,35,between-subtype,8e,8d,athlete,medal,breathe,live,5,9557
5,36,between-subtype,9h,9a,meal,dessert,supermarket,groceries,7,7255
5,37,between-subtype,7g,7h,paper,pencil,doctor,phd,7,5584
5,38,between-subtype,9c,9d,bar,drinking,sew,needle,1,6720
5,39,within-subtype,4c,4c,abandon,embrace,attract,repel,4,7888
5,40,between-subtype,1e,1a,prince,Charles,appliance,refrigerator,6,11597
5,41,between-subtype,8d,8b,bathe,clean,dirty,bathe,7,9094
5,42,between-type,2g,5i,lawn,grass,divide,parts,1,7841
5,43,between-subtype,8a,8g,sweating,odor,shovel,dig,1,7212
5,44,attention check,,,representations,,simultaneously,,7,5246
5,45,within-subtype,6c,6c,dirt,cleanliness,sage,ignorance,1,5657
5,46,within-subtype,6h,6h,groom,unkempt,teach,ignorant,1,5366
5,47,between-subtype,5c,5d,scholar,intelligence,lethargic,fatigue,1,6666
5,48,between-subtype,8f,8g,fire,warmth,knife,cut,1,5900
5,49,between-subtype,2j,2e,husband,bachelorhood,cooking,chopping,1,7443
5,50,between-subtype,6b,6a,irreparable,fixed,rainbow,monochromatic,4,5241
5,51,within-subtype,9d,9d,laboratory,reagents,kitchen,oven,4,5422
5,52,between-subtype,2g,2j,cocktail,alcohol,butterfly,cocoon,1,5370
5,53,between-type,5c,8f,ice,cold,punch,pain,1,6130
5,54,within-subtype,7f,7f,education,student,medal,hero,4,5577
6,1,between-subtype,4f,4e,sterile,dirty,perplexed,certain,5,36192
6,2,within-subtype,5e,5e,tree,grow,boxer,fight,3,23667
6,3,between-subtype,5g,5d,insult,unkind,illogical,confusion,6,13870
6,4,between-subtype,1a,1c,dog,chihuahua,mammal,gorilla,3,12281
6,5,between-type,6a,7h,heat,cold,wife,ring,1,8925
6,6,within-subtype,7g,7g,paper,pencil,clothes,iron,5,14745
6,7,between-subtype,5c,5i,invalid,sickness,heat,warm,2,17682
6,8,within-subtype,9d,9d,office,telephone,office,computer,5,11276
6,9,within-subtype,8b,8b,tiredness,rest,loneliness,socialize,6,10162
6,10,between-subtype,10a,10b,license,permission,yawn,boredom,3,11276
6,11,attention check,,,representations,,simultaneously,,1,12593
6,12,between-subtype,2a,2d,house,room,restaurant,chef,3,17968
6,13,within-subtype,6g,6g,stare,intermittently,insult,kindly,1,11170
6,14,between-type,2b,3e,class,student,child,adult,2,13037
6,15,within-subtype,9e,9e,margin,paper,edge,cliff,6,6739
6,16,within-subtype,3g,3g,male,female,rooster,hen,5,8135
6,17,between-subtype,5g,5i,withdrawal,timid,eat,satisfaction,4,9920
6,18,within-subtype,4e,4e,old,young,thin,chubby,6,10183
6,19,between-subtype,6g,6h,hurry,lazily,discourage,confident,3,14184
6,20,within-subtype,9g,9g,morning,sunrise,elderly,retirement,4,13581
6,21,between-subtype,4d,4g,forward,backward,low,up,6,10008
6,22,attention check,,,anthropologist,,anthropologist,,7,14655
6,23,between-subtype,6a,6h,careful,reckless,destroy,alive,3,47162
6,24,within-subtype,6h,6h,cure,disease,teach,ignorant,6,13604
6,25,between-subtype,6g,6h,speed,slowly,wash,dirty,3,17494
6,26,between-subtype,5h,5f,drop,slippery,generous,give,6,9719
6,27,between-subtype,9h,9i,arrest,trial,foot,shoe,6,10256
6,28,between-subtype,6h,6a,fill,empty,object,intangible,2,10870
6,29,between-subtype,6b,6a,immovable,shaken,darkness,light,6,8715
6,30,between-subtype,5i,5a,sand,smooth,water,wet,2,9554
6,31,between-type,4g,6d,bright,dull,elderly,youth,6,7155
6,32,between-type,7h,6g,teacher,certificate,lie,honestly,2,7377
6,33,attention check,,,hummingbird,,hummingbird,,7,7895
6,34,within-subtype,7b,7b,accountant,taxpayer,parent,child,6,5760
6,35,within-subtype,3h,3h,rise,tide,flood,water,2,9777
6,36,within-subtype,3c,3c,nudging,shoving,wet,saturated,6,7848
6,37,between-type,4e,1a,perplexed,certain,rodent,mouse,2,9028
6,38,between-subtype,8c,8b,monitor,computer,dirty,bathe,3,8021
6,39,between-type,9h,3d,previews,movie,negotiate,blackmail,2,15599
6,40,within-subtype,1a,1a,bird,robin,bush,azalea,6,5099
6,41,within-subtype,8h,8h,immunization,disease,sun,darkness,6,14764
6,42,between-subtype,4f,4e,earsplitting,quiet,evil,good,6,7009
6,43,within-subtype,2f,2f,river,delta,ship,deck,6,6627
6,44,attention check,,,coincidence,,knowledgeable,,1,7554
6,45,between-subtype,6c,6a,anxiety,contentedness,object,intangible,2,9391
6,46,within-subtype,4d,4d,rise,sink,under,over,6,9195
6,47,within-subtype,5d,5d,pensive,thought,drunk,intoxication,6,7627
6,48,within-subtype,7e,7e,pay,debtor,preach,parishioner,6,11207
6,49,within-subtype,5f,5f,round,roll,golden,gleam,6,12193
6,50,between-subtype,9e,9g,guardrail,highway,senescence,cane,5,57727
